RSC000162,Detroit#2236,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198374927067/overview,1576
RSC000715,Mursu#6036,https://rocketleague.tracker.network/rocket-league/profile/epic/IMursu./overview,1367
RSC000075,Mxsters#2323,https://rocketleague.tracker.network/rocket-league/profile/epic/mxsters_/overview,1078
RSC000839,zfelix.#4525,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198147210652/overview,1574
RSC000617,darkie.#0001,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198078944510/overview,1700
RSC000617,Hanson#9271,https://rocketleague.tracker.network/rocket-league/profile/xbl/Hanson6351/overview,1506
RSC000370,Anthonyy#8008,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198449009060/overview,1504
RSC000370,joris#1940,https://rocketleague.tracker.network/rocket-league/profile/epic/joris%20./overview,1546
RSC000326,Lastofthewild97#9797,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198450228183/overview,1580
RSC000767,Gem#5011,https://rocketleague.tracker.network/rocket-league/profile/epic/Sub%20Gem/overview,965
RSC000767,Lovrecek#2614,https://rocketleague.tracker.network/rocket-league/profile/epic/Lovvv./overview,1423
RSC000851,heinzketchup03#4533,https://rocketleague.tracker.network/rocket-league/profile/epic/SteepLiger990/overview,1616
RSC000204,Newsh123#4567,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198834372099/overview,1263
RSC000500,Lwie#2822,https://rocketleague.tracker.network/rocket-league/profile/epic/Lwie2K/overview,1433
RSC000500,Rene#1889,https://rocketleague.tracker.network/rocket-league/profile/psn/Reneiren/overview,1719
RSC000918,.s??S#8750,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198877274213/overview,1474
RSC000918,AJ47#0873,https://rocketleague.tracker.network/rocket-league/profile/xbl/I%20AJ47%20I/overview,1285
